+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                      ;
+--------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; platform_designer_pin_ip|i1|mm_interconnect_0|avalon_st_adapter_004|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|avalon_st_adapter_004                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|avalon_st_adapter_003|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|avalon_st_adapter_003                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|avalon_st_adapter_002|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|avalon_st_adapter_002                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|avalon_st_adapter_001|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|avalon_st_adapter_001                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|avalon_st_adapter|error_adapter_0                                                            ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|avalon_st_adapter                                                                            ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|rsp_mux|arb|adder                                                                            ; 24    ; 12             ; 0            ; 12             ; 12     ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|rsp_mux|arb                                                                                  ; 10    ; 0              ; 4            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|rsp_mux                                                                                      ; 693   ; 0              ; 0            ; 0              ; 121    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|rsp_demux_005                                                                                ; 118   ; 1              ; 2            ; 1              ; 116    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|rsp_demux_004                                                                                ; 118   ; 1              ; 2            ; 1              ; 116    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|rsp_demux_003                                                                                ; 118   ; 1              ; 2            ; 1              ; 116    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|rsp_demux_002                                                                                ; 118   ; 1              ; 2            ; 1              ; 116    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|rsp_demux_001                                                                                ; 118   ; 1              ; 2            ; 1              ; 116    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|rsp_demux                                                                                    ; 118   ; 1              ; 2            ; 1              ; 116    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|cmd_mux_005                                                                                  ; 118   ; 0              ; 2            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|cmd_mux_004                                                                                  ; 118   ; 0              ; 2            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|cmd_mux_003                                                                                  ; 118   ; 0              ; 2            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|cmd_mux_002                                                                                  ; 118   ; 0              ; 2            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|cmd_mux_001                                                                                  ; 118   ; 0              ; 2            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|cmd_mux                                                                                      ; 118   ; 0              ; 2            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|cmd_demux                                                                                    ; 128   ; 36             ; 2            ; 36             ; 691    ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|jtag_2_avalon_ip_master_limiter                                                              ; 234   ; 0              ; 0            ; 0              ; 237    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router_006|the_default_decode                                                                ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router_006                                                                                   ; 112   ; 0              ; 2            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router_005|the_default_decode                                                                ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router_005                                                                                   ; 112   ; 0              ; 2            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router_004|the_default_decode                                                                ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router_004                                                                                   ; 112   ; 0              ; 2            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router_003|the_default_decode                                                                ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router_003                                                                                   ; 112   ; 0              ; 2            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router_002|the_default_decode                                                                ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router_002                                                                                   ; 112   ; 0              ; 2            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router_001|the_default_decode                                                                ; 0     ; 6              ; 0            ; 6              ; 6      ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router_001                                                                                   ; 112   ; 0              ; 2            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router|the_default_decode                                                                    ; 0     ; 9              ; 0            ; 9              ; 9      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|router                                                                                       ; 112   ; 0              ; 5            ; 0              ; 116    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|param3_s1_agent_rsp_fifo                                                                     ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|param3_s1_agent|uncompressor                                                                 ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|param3_s1_agent                                                                              ; 303   ; 39             ; 43           ; 39             ; 332    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|param2_s1_agent_rsp_fifo                                                                     ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|param2_s1_agent|uncompressor                                                                 ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|param2_s1_agent                                                                              ; 303   ; 39             ; 43           ; 39             ; 332    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|param1_s1_agent_rsp_fifo                                                                     ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|param1_s1_agent|uncompressor                                                                 ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|param1_s1_agent                                                                              ; 303   ; 39             ; 43           ; 39             ; 332    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|led_ip_1_s1_agent_rsp_fifo                                                                   ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|led_ip_1_s1_agent|uncompressor                                                               ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|led_ip_1_s1_agent                                                                            ; 303   ; 39             ; 43           ; 39             ; 332    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|sw_ip_s1_agent_rsp_fifo                                                                      ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|sw_ip_s1_agent|uncompressor                                                                  ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|sw_ip_s1_agent                                                                               ; 303   ; 39             ; 43           ; 39             ; 332    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|led_ip_0_s1_agent_rsp_fifo                                                                   ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|led_ip_0_s1_agent|uncompressor                                                               ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|led_ip_0_s1_agent                                                                            ; 303   ; 39             ; 43           ; 39             ; 332    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|jtag_2_avalon_ip_master_agent                                                                ; 193   ; 35             ; 84           ; 35             ; 144    ; 35              ; 35            ; 35              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|param3_s1_translator                                                                         ; 115   ; 6              ; 33           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|param2_s1_translator                                                                         ; 115   ; 6              ; 33           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|param1_s1_translator                                                                         ; 115   ; 6              ; 33           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|led_ip_1_s1_translator                                                                       ; 115   ; 6              ; 33           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|sw_ip_s1_translator                                                                          ; 115   ; 6              ; 33           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|led_ip_0_s1_translator                                                                       ; 115   ; 6              ; 33           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0|jtag_2_avalon_ip_master_translator                                                           ; 116   ; 13             ; 2            ; 13             ; 109    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|mm_interconnect_0                                                                                              ; 266   ; 0              ; 1            ; 0              ; 182    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|param3                                                                                                         ; 38    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|param2                                                                                                         ; 38    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|param1                                                                                                         ; 38    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|sw_ip                                                                                                          ; 38    ; 20             ; 20           ; 20             ; 44     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|led_ip_1                                                                                                       ; 36    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|led_ip_0                                                                                                       ; 36    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|rst_controller|alt_rst_req_sync_uq1                                                           ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|rst_controller|alt_rst_sync_uq1                                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|rst_controller                                                                                ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|p2b_adapter                                                                                   ; 14    ; 8              ; 2            ; 8              ; 20     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|b2p_adapter                                                                                   ; 22    ; 0              ; 2            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|transacto|p2m                                                                                 ; 48    ; 0              ; 0            ; 0              ; 82     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|transacto                                                                                     ; 48    ; 0              ; 0            ; 0              ; 82     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|p2b                                                                                           ; 22    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|b2p                                                                                           ; 12    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|fifo                                                                                          ; 53    ; 41             ; 0            ; 41             ; 10     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|timing_adt                                                                                    ; 12    ; 0              ; 3            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|source_crosser|crosser              ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|source_crosser                      ; 13    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|sink_crosser|output_stage           ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|sink_crosser|out_to_in_synchronizer ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|sink_crosser|in_to_out_synchronizer ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|sink_crosser                        ; 14    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|jtag_streaming|idle_inserter        ; 12    ; 1              ; 0            ; 1              ; 10     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|jtag_streaming|idle_remover         ; 12    ; 2              ; 0            ; 2              ; 10     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|jtag_streaming                      ; 20    ; 1              ; 0            ; 1              ; 16     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming                                     ; 19    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|jtag_phy_embedded_in_jtag_master|node                                                         ; 4     ; 3              ; 0            ; 3              ; 8      ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip|jtag_phy_embedded_in_jtag_master                                                              ; 38    ; 27             ; 0            ; 27             ; 11     ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1|jtag_2_avalon_ip                                                                                               ; 36    ; 0              ; 0            ; 0              ; 71     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip|i1                                                                                                                ; 66    ; 6              ; 0            ; 6              ; 108    ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; platform_designer_pin_ip                                                                                                                   ; 59    ; 144            ; 0            ; 144            ; 108    ; 144             ; 144           ; 144             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_design|u_top                                                                                                                             ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; u_design                                                                                                                                   ; 12    ; 2              ; 1            ; 2              ; 10     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+--------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
